Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT251980,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29845,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW242/2020, complete genome"
MT253704,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29781,GenBank,complete,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-576/2020, complete genome"
MT253705,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29781,GenBank,complete,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-60/2020, complete genome"
MT253702,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29781,GenBank,complete,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-49/2020, complete genome"
MT251973,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29871,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW237/2020, complete genome"
MT251974,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29852,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW238/2020, complete genome"
MT251975,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29875,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW239/2020, complete genome"
MT251976,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29899,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW240/2020, complete genome"
MT251977,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29829,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW234/2020, complete genome"
MT253696,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29781,GenBank,complete,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-162/2020, complete genome"
MT253697,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29781,GenBank,complete,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-178/2020, complete genome"
MT253699,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29781,GenBank,complete,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-477/2020, complete genome"
MT253701,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29781,GenBank,complete,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-48/2020, complete genome"
MT253707,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29781,GenBank,complete,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-638/2020, complete genome"
MT253710,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29781,GenBank,complete,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-91/2020, complete genome"
MT253709,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29781,GenBank,complete,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-90/2020, complete genome"
MT246469,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29869,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW212/2020, complete genome"
MT246466,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29897,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW209/2020, complete genome"
MT246471,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29871,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW214/2020, complete genome"
MT246465,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29781,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW208/2020, partial genome"
MT246475,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29877,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW218/2020, complete genome"
MT246456,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29846,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW199/2020, complete genome"
MT246463,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW206/2020, partial genome"
MT246464,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW207/2020, complete genome"
MT246450,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29872,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW193/2020, complete genome"
MT246451,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29868,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW194/2020, complete genome"
MT246452,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29888,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW195/2020, complete genome"
MT246457,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29843,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW200/2020, complete genome"
MT246474,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29884,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW217/2020, complete genome"
MT246480,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29904,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW223/2020, complete genome"
MT246486,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29867,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW229/2020, complete genome"
MT246489,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29864,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW232/2020, complete genome"
MT246490,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29850,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW233/2020, complete genome"
MT246449,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29828,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW192/2020, complete genome"
MT246462,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW205/2020, complete genome"
MT246477,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29886,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW220/2020, complete genome"
MT246482,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29844,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW225/2020, complete genome"
MT246453,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29823,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW196/2020, complete genome"
MT246461,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29877,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW204/2020, complete genome"
MT246476,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29863,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW219/2020, complete genome"
MT246483,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29765,GenBank,partial,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW226/2020, partial genome"
MT246487,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29883,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW230/2020, complete genome"
MT246459,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29909,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW202/2020, complete genome"
MT246454,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29892,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW197/2020, complete genome"
MT246455,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29857,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW198/2020, complete genome"
MT246458,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29765,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW201/2020, complete genome"
MT246460,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29917,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW203/2020, complete genome"
MT246478,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29889,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW221/2020, complete genome"
MT246479,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29828,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW222/2020, complete genome"
MT246481,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29873,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW224/2020, complete genome"
MT246484,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29870,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW227/2020, complete genome"
MT246485,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29775,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW228/2020, complete genome"
MT246488,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29842,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW231/2020, complete genome"
MT246470,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29860,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW213/2020, complete genome"
MT246467,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29899,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW210/2020, complete genome"
MT246472,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29810,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW215/2020, complete genome"
MT246473,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29825,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW216/2020, complete genome"
MT246468,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29843,GenBank,complete,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA: WA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW211/2020, complete genome"
MT246667,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29867,GenBank,complete,,,"Thornburg,N., Bradford,R., Rashid,S., Flores,B., Parker,M., Tallon,L., Sadzewicz,L., Ott,S., Vavikolanu,K., Nadendla,S., Sichtig,H.",,USA: WA,Homo sapiens,oronasopharynx,2020-01-19,,"Severe acute respiratory syndrome coronavirus 2 strain FDAARGOS_983 isolate 2019-nCoV/USA-WA1/2020, complete genome"
MT233526,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29847,GenBank,complete,,,"Thornburg,N., Bradford,R., Rashid,S., Flores,B., Parker,M., Tallon,L., Sadzewicz,L., Ott,S., Vavikolanu,K., Nadendla,S., Sichtig,H.",,USA: WA,Homo sapiens,oronasopharynx,2020-01-19,,"Severe acute respiratory syndrome coronavirus 2 strain FDAARGOS_983 isolate 2019-nCoV/USA-WA1/2020, complete genome"
MT240479,2020-03-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29836,GenBank,complete,,,"Javed,A., Niazi,S.K., Ghani,E., Saqib,M., Janjua,H.A., Corman,V.M., Zohaib,A.",,Pakistan: Gilgit,Homo sapiens,oronasopharynx,2020-03-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PAK/Gilgit1/2020, complete genome"
MT233519,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Bracho,M.A., D'Auria,G., Gimeno,C., Ocete,M.D., De Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain: Valencia,Homo sapiens,,2020-02-27,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ESP/Valencia5/2020, complete genome"
MT233520,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,partial,,,"Bracho,M.A., D'Auria,G., Gimeno,C., Ocete,M.D., De Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain: Valencia,Homo sapiens,,2020-02-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ESP/Valencia4/2020, partial genome"
MT233523,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,complete,,,"Bracho,M.A., D'Auria,G., Gimeno,C., Ocete,M.D., De Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain: Valencia,Homo sapiens,,2020-03-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ESP/Valencia8/2020, complete genome"
MT232870,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,338,GenBank,partial,,,"Karbalaie Niya,M.H., Laali,A., Zamani,F., Esghaei,M., Tabibzadeh,A., Safarnezhad Tameshkel,F., Jamshidi Makiani,M., Ghanbari,B., Emadi,Y., Sohrabi,M.R., Ranjbar,M., Savaj,S., Rezaie,N., Ajdarkosh,H., Keyvani,H., Khoonsari,M., Roham,M., Ameli,M., Nikkhah,M., Faraji,A., Panahi,M., Yadollahzadeh,M.",,Iran,Homo sapiens,oronasopharynx,2020-02-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IRN/MHKN-2/2020 orf1ab polyprotein, RdRp region, (orf1ab) gene, partial cds"
MT233521,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,partial,,,"Bracho,M.A., D'Auria,G., Gimeno,C., Ocete,M.D., De Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain: Valencia,Homo sapiens,oronasopharynx,2020-02-27,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ESP/Valencia6/2020, partial genome"
MT232871,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,157,GenBank,partial,,,"Karbalaie Niya,M.H., Laali,A., Zamani,F., Esghaei,M., Tabibzadeh,A., Safarnezhad Tameshkel,F., Jamshidi Makiani,M., Ghanbari,B., Emadi,Y., Sohrabi,M.R., Ranjbar,M., Savaj,S., Rezaie,N., Ajdarkosh,H., Keyvani,H., Khoonsari,M., Roham,M., Ameli,M., Nikkhah,M., Faraji,A., Panahi,M., Khaleghparast,S., Yadollahzadeh,M.",,Iran,Homo sapiens,oronasopharynx,2020-02-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IRN/MHKN-1/2020 surface glycoprotein (S) gene, partial cds"
MT232869,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,338,GenBank,partial,,,"Karbalaie Niya,M.H., Laali,A., Zamani,F., Esghaei,M., Tabibzadeh,A., Safarnezhad Tameshkel,F., Jamshidi Makiani,M., Ghanbari,B., Emadi,Y., Sohrabi,M.R., Ranjbar,M., Savaj,S., Rezaie,N., Ajdarkosh,H., Keyvani,H., Khoonsari,M., Roham,M., Ameli,M., Nikkhah,M., Faraji,A., Panahi,M., Yadollahzadeh,M.",,Iran,Homo sapiens,oronasopharynx,2020-02-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IRN/MHKN-1/2020 orf1ab polyprotein, RdRp region, (orf1ab) gene, partial cds"
